Question,Answer,qtype
[PubMed] asthma diagnosis clinical [6],"BACKGROUND: Acute respiratory distress syndrome (ARDS) is a clinically defined, 
biologically heterogeneous condition with no proven disease-modifying therapies. 
Retrospective analyses have identified two biologically distinct subphenotypes 
(hyperinflammatory and hypoinflammatory) of ARDS, with differing outcomes and 
responses to therapy. Rapid identification of these subphenotypes in an 
actionable timeframe has previously not been possible. The PHIND study aimed to 
prospectively identify these subphenotypes and to demonstrate differing 60-day 
mortality.
METHODS: The PHIND study was a prospective, multicentre, observational cohort 
study conducted in intensive care units (ICUs) within the National Health 
Service in the UK and the Health Service Executive in Ireland. Adult patients 
aged 18 years and older with ARDS or acute hypoxaemic respiratory failure (AHRF) 
were enrolled within 72 h of onset of the syndrome. Eligible patients were 
required to be receiving invasive mechanical ventilation, non-invasive 
ventilation, or high-flow nasal oxygen. Plasma interleukin (IL-6) and soluble 
TNF receptor-1 (TNFR1) were quantified at enrolment using a near-patient 
benchtop immunoanalyser (Randox multiSTAT) with a run time of approximately 1 h. 
Together with plasma bicarbonate measured from an arterial blood sample, these 
values were used to prospectively determine subphenotypes on an individual 
patient basis using a validated parsimonious logistic regression model. The 
primary outcome was 60-day mortality. The study was registered on 
ClinicalTrials.gov, NCT04009330.
FINDINGS: Between Nov 22, 2019, and Sept 28, 2023, 1853 patients from 30 centres 
were screened for eligibility. Of these, 1328 were excluded and 525 were 
recruited into the study, with 512 individuals included. 308 (60%) patients were 
male, 204 (40%) were female, and mean age was 57·0 years (SD 15·1). 443 (87%) 
patients were white, 18 (4%) were Black, and 16 (3%) were Asian. 490 were 
subphenoty",Research
[PubMed] asthma diagnosis clinical [7],"Copyright © 2026 The Author(s). Published by Elsevier Ltd. This is an Open 
Access article under the CC BY 4.0 license. Published by Elsevier Ltd.. All 
rights reserved.",Research
[PubMed] asthma diagnosis clinical [8],"Conflict of interest statement: Declaration of interests KR reports funding for 
the submitted work from the Wellcome Trust ICAT Programme (203930/B/16/Z), 
Innovate UK (reference, 18045), Randox Laboratories, and the Belfast Health and 
Social Care Trust. Outside of the submitted work, he reports grants from the 
National Institute for Health and Care Research (NIHR), the Health Research 
Board, and the Association of Anaesthetists. He also reports travel support from 
the American Thoracic Society and membership of both the Irish Critical Care 
Clinical Trials Network and Irish Critical Care Clinical Trials Group executive 
committees. PS reports grants from the National Institutes of Health (NIH; 
R35GM142992; R01HL173531) and the Department of Defense (PR241420), outside of 
the submitted work. He also reports consulting fees from AstraZeneca and 
Prenosis. DBA reports grants from the NIHR, outside of the submitted work. LM 
reports funding for the submitted work from Innovate UK. MO reports grants from 
Biomerieux and Baxter, outside of the submitted work. She also reports her roles 
as Chair of the AKI Working Group of the European Renal Association, 
President-Elect of the European Society of Intensive Care Medicine, and Member 
of the Council of the Intensive Care Society UK. TS reports grants from the 
NIHR, outside of the submitted work. He reports honoraria from Biotest AG and a 
stake in a relevant patent EP3519594B1. He also reports his roles as Trustee for 
ICNARC and Editor-in-Chief for Critical Care Explorations. DB reports 
infrastructure support from the NIHR University College London Hospitals 
Biomedical Research Centre. DP reports grants from the NIHR, outside of the 
submitted work. He also reports his role as Faculty Member of the Intensive Care 
Medicine Board. LDJB reports grants from Longfonds, the Innovative Medicine 
Initiative, Amsterdam UMC, Health Holland via Longfonds, ZonMW, and Volition, 
outside of the submitted work. He reports pa",Research
[PubMed] asthma diagnosis clinical [9],"Clinical Utility of Pentraxin-3 and Eosinophil-Derived Neurotoxin as Biomarkers 
of Disease Activity in Pediatric Bronchial Asthma.",Research
[PubMed] asthma diagnosis clinical [10],"Abd-Elmawgood EA(1), Abdallah AAM(2)(3), Hassan MH(4), Abo El-Hasan MN(1), Fayed 
HM(5), Rashwan NI(1).",Research
[PubMed] asthma diagnosis clinical [11],"Author information:
(1)Department of Pediatrics, Faculty of Medicine, Qena University, Qena 83523, 
Egypt.
(2)Department of Medical Biochemistry, Faculty of Medicine, Sohag University, 
Sohag, Egypt.
(3)Department of Basic Medical Sciences, Aqaba Medical Sciences University, 
Aqaba, Jordan.
(4)Department of Medical Biochemistry & Molecular Biology, Faculty of Medicine, 
Qena University, Qena 83523, Egypt.
(5)Department of Chemical and Clinical Pathology, Faculty of Medicine, Qena 
University, Qena 83523, Egypt.",Research
[PubMed] asthma diagnosis clinical [12],"BACKGROUND: Bronchial asthma is a chronic inflammatory airway disorder driven 
predominantly by Th2-mediated immune responses and eosinophilic activation. 
Eosinophil-derived neurotoxin (EDN) and pentraxin-3 (PTX3) have been implicated 
in airway inflammation and remodeling, yet their clinical relevance in children 
is not fully established.
OBJECTIVES: To assess serum EDN and PTX3 levels in children with bronchial 
asthma compared with healthy controls, and to evaluate their diagnostic 
performance and association with asthma severity and control.
METHODS: This case-control study included 105 Egyptian children aged 2-18 years 
(55 asthmatics and 50 healthy controls). Asthma diagnosis, severity, and control 
were classified according to Global Initiative for Asthma (GINA) guidelines. All 
participants underwent detailed clinical evaluation, chest radiography, 
spirometry, and laboratory investigations, including serum EDN, and PTX3 
measured by ELISA.
RESULTS: Serum EDN and PTX3 levels were significantly elevated in asthmatic 
children compared with controls (p < 0.0001). EDN showed significant 
correlations with eosinophil count, IgE, exacerbation frequency, and pulmonary 
function indices, whereas PTX3 demonstrated weaker clinical associations. ROC 
analysis showed good discriminatory ability for EDN (AUC = 0.82) and high 
discrimination for PTX3 (AUC = 0.91) between asthmatic and non-asthmatic 
subjects, but limited ability of PTX3 to stratify asthma control.
CONCLUSION: EDN and PTX3 are associated with pediatric asthma, reflecting 
different components of airway inflammation. EDN demonstrated closer 
relationships with markers of disease activity suggesting its potential role as 
an adjunct biomarker for monitoring inflammation, while PTX3 primarily 
differentiated asthmatic from healthy children. These biomarkers should be 
considered complementary research tools rather than stand-alone diagnostic 
tests.",Research
[PubMed] asthma diagnosis clinical [13],"Exploring cardiopulmonary parameters in athletes with exercise-induced dyspnea: 
a cardiopulmonary exercise test-based analysis.",Research
[PubMed] asthma diagnosis clinical [14],"Author information:
(1)Department of Sports Medicine, Istanbul Faculty of Medicine, Istanbul 
University, Istanbul, Türkiye.
(2)Department of Sports Medicine, Istanbul Faculty of Medicine, Istanbul 
University, Istanbul, Türkiye - sdincer@istanbul.edu.tr.",Research
[PubMed] asthma diagnosis clinical [15],"BACKGROUND: Exercise-induced bronchospasm (EIB) is widely recognized as a common 
cause of exertional dyspnea. The accurate identification and differentiation of 
EIB from other causes of exercise intolerance remain challenging in clinical 
practice. We aimed to analyze CPET-derived ventilatory and metabolic parameters 
in adolescant athletes with exercise-related dyspnea to assess whether these 
parameters can aid in differentiating EIB from other non-EIB causes of dyspnea.
METHODS: This retrospective, observational, cohort study included 47 athletes 
(8-18 years old) presenting with exercise-related dyspnea. Participants were 
divided into EIB-positive [EIB (+)] and EIB-negative [EIB (-)] groups based on a 
≥10% decrease in forced expiratory volume in 1 second (FEV<inf>1</inf>) after 
CPET. A control group (N.=36) was also included. Spirometry measurements were 
obtained before and after CPET, and cardiopulmonary parameters such as peak 
oxygen uptake (peak VO<inf>2</inf>), oxygen uptake efficiency slope (OUES), and 
ventilatory equivalents were analyzed.
RESULTS: No significant differences were found between EIB (+) and EIB (-) 
groups in terms of baseline spirometry values. Post-exercise spirometry revealed 
significant reductions in FEV<inf>1</inf>, FEV<inf>1</inf>/FVC, 
FEF<inf>25-75</inf>, and PEF values in the EIB (+) group (P<0.05). Peak 
VO<inf>2</inf> and peak O<inf>2</inf>/HR were lower in both dyspneic groups 
compared to controls, but no significant difference was observed between EIB (+) 
and EIB (-) groups (P>0.05). OUES was moderately correlated with AT 
VCO<inf>2</inf> (r=0.519) and strongly correlated with peak VO<inf>2</inf> 
(r=0.804) and peak O<inf>2</inf>/HR (r=0.861).
CONCLUSIONS: While EIB affects ventilatory function, athletes with 
exercise-related dyspnea exhibited similar CPET changes regardless of EIB 
diagnosis. This suggests that dyspnea in young athletes may not always be due to 
EIB but could result from other ventilatory adaptation",Research
[PubMed] asthma diagnosis clinical [16],"4. Curr Opin Allergy Clin Immunol. 2026 Mar 27. doi:
10.1097/ACI.0000000000001145.  Online ahead of print.",Research
[PubMed] asthma diagnosis clinical [17],"Reframing paucigranulocytic asthma through genetic endotyping: a 
hypothesis-generating focus on the 17q21 rs7216389 locus.",Research
[PubMed] asthma diagnosis clinical [18],"Author information:
(1)Department of Translational Medical Sciences, University of Naples Federico 
II.
(2)World Allergy Organization (WAO) Center of Excellence, Naples.
(3)Istituti Clinici Scientifici Maugeri-IRCCS Scientific Institute of Telese 
Terme, Benevento, Italy.
(4)University of Dundee, School of Medicine, Dundee, Scotland, UK.
(5)Division of Immunology, Transplantation and Infectious Diseases, IRCCS San 
Raffaele Scientific Institute, Milan.
(6)Center for Basic and Clinical Immunology Research (CISI), University of 
Naples.",Research
[PubMed] asthma diagnosis clinical [19],"PURPOSE OF REVIEW: Non-T2 asthma is currently defined by missing parameters, 
such as low blood eosinophils and FeNO, rather than positively identifiable 
mechanistic features. This definition overlaps with paucigranulocytic asthma 
(PGA). However, T2-biomarkers fluctuate over time, especially during 
glucocorticoid therapy, leading to potential over-diagnosis of T2-low asthma. 
Advancing beyond traditional endotyping is required for precision medicine.
RECENT FINDINGS: Alarmin-driven asthma [interleukin (IL)-33, thymic stromal 
lymphopoietin (TSLP), IL-25] can drive inflammation even without high 
T2-markers, but these are difficult to measure clinically. Genetic testing, such 
as the rs7216389 SNP (17q21 locus, GSDMB/ORMDL3), offers a stable alternative. 
The T allele is linked to childhood-onset asthma, viral-induced alarmin release, 
and epithelial dysfunction. Notably, carriers of the T allele are more likely to 
respond to allergen immunotherapy (AIT). This genetic marker is not subjected to 
treatment-dependent modification and segregates with both T2-driven and 
alarmin-driven asthma.
SUMMARY: We propose that rs7216389 genotyping could be explored, within a 
treatable trait framework, to improve the mechanistic characterization of 
paucigranulocytic or low-biomarker asthma. While current data are associative, 
this one-time genetic assessment might contribute to research-driven 
stratification of ""hidden"" T2- or alarmin-leaning endotypes, potentially guiding 
the use of AIT and upstream biologics like anti-TSLP.",Research
[PubMed] asthma diagnosis clinical [20],"5. J Allergy Clin Immunol Glob. 2026 Feb 24;5(3):100676. doi: 
10.1016/j.jacig.2026.100676. eCollection 2026 May.",Research
[PubMed] asthma diagnosis clinical [21],"Author information:
(1)Allergy, Asthma and Immunology Center, Murphy, Tex.
(2)Department of Internal Medicine, TCU Burnett School of Medicine, Fort Worth, 
Tex.
(3)University of Texas Medical Branch, Galveston, Tex.",Research
[PubMed] asthma diagnosis clinical [22],"BACKGROUND: Wheat-dependent exercise-induced anaphylaxis (WDEIA) is a rare but 
potentially severe delayed-onset food allergy occurring exclusively when wheat 
ingestion is accompanied by augmenting cofactors.
OBJECTIVE: This study aimed to characterize WDEIA, understand its varied 
clinical presentations, and propose mechanistic differences from classic food 
allergy.
METHODS: A retrospective chart review of patients diagnosed with WDEIA between 
2017 and 2024 was performed in accordance with the Declaration of Helsinki. The 
clinical presentation, diagnosis, management strategies, and clinical course 
were analyzed.
RESULTS: The cohort consisted of 7 patients, aged 21 to 46 years (6 male and 1 
female). All patients had multiple episodes of severe/Brown grade III 
anaphylaxis before presentation. As expected with WDEIA, all patients tolerated 
exercise/other cofactors and wheat independently, although they all reported 
rare, mild intermittent urticaria that was correlated with wheat ingestion and 
resolved with antihistamines. Predominant cardiovascular symptoms (including 
loss of consciousness) with minimal respiratory involvement was noted in all 
patients. The severity of the anaphylactic shock appeared consistent across all 
patients regardless of the intensity of exercise, and amongst the different 
cofactors including alcohol, nonsteroidal anti-inflammatory drugs, and 
menstruation. Exercise was the most common cofactor in 7 of 7 patients. No 
correlation of omega-5 gliadin, wheat, or gluten IgE levels with anaphylaxis 
severity was noted. In all patients, a gluten-free diet prevented both 
intermittent urticaria and anaphylaxis, whereas separation of gluten from 
exercise and other cofactors prevented anaphylaxis only, and not intermittent 
urticaria in those patients.
CONCLUSION: The study confirms the varied presentations of WDEIA, which are 
distinct from those of classic food allergies, suggesting a different mechanism. 
The differential effectiveness",Research
[PubMed] asthma diagnosis clinical [23],"Conflict of interest statement: Disclosure of potential conflict of interest: 
The authors declare that they have no relevant conflicts of interest.",Research
[PubMed] asthma diagnosis clinical [24],"Outdated Frameworks, Missed Opportunities: A Call for Establishing 
Classification Criteria for Patients with Sarcoidosis.",Research
[PubMed] asthma diagnosis clinical [25],"Sweiss NJ(1)(2), Dominati A(3), McGowan M(4), Shivas T(4), Ladouceur A(5), 
Rubinstein I(6)(7), Baron M(5).",Research
[PubMed] asthma diagnosis clinical [26],"Author information:
(1)Arthritis Clinic, Division of Rheumatology, Department of Medicine, 
University of Illinois College of Medicine in Chicago, Chicago, IL, USA. 
nsweiss@uic.edu.
(2)Bernie Mac Sarcoidosis Translational Advanced Research Center (STAR), 
Chicago, IL, USA. nsweiss@uic.edu.
(3)Division of Clinical Immunology and Allergology, Department of Medicine, 
Geneva University Hospital, Geneva, Switzerland.
(4)Foundation for Sarcoidosis Research, Chicago, IL, USA.
(5)Division of Rheumatology, McGill University, Quebec, Canada.
(6)Division of Pulmonary, Critical Care, Sleep, and Allergy Medicine, Department 
of Medicine, University of Illinois College of Medicine in Chicago, Chicago, IL, 
USA.
(7)Medical and Research Services, Jesse Brown VA Medical Center, Chicago, IL, 
USA.",Research
[PubMed] asthma diagnosis clinical [27],"Progress in sarcoidosis research is hampered by inconsistent definitions and 
study entry criteria that rely on variable local practice patterns and widely 
differing expert opinions. This, in turn, has resulted in a heterogeneous body 
of clinical trial data that often cannot be compared, replicated, or 
generalized. The rheumatology community has successfully distinguished between 
diagnostic and classification criteria for diseases such as systemic lupus 
erythematosus, IgG4-related disease, and systemic sclerosis. This task was also 
successfully accomplished for patients diagnosed with pulmonary diseases, such 
as pulmonary arterial hypertension, asthma, and chronic obstructive pulmonary 
disease, for which classification has established distinct treatment pathways 
between groups. Diagnostic criteria are used at the bedside, on a 
patient-by-patient basis. They reflect the needs of health care providers and 
clinicians to consider disease heterogeneity and exercise judgment. 
Classification criteria, however, are primarily used for research and aim for 
specificity to define homogeneous populations for study. Unfortunately, 
sarcoidosis does not have definite classification criteria. Their absence 
undermines proper interpretation of study outcomes and hampers development of 
novel therapies. Sarcoidosis can be thought of as ""constellations of patient 
populations"" that need to be unified. As clinician-researchers and, above all 
else, advocates for our patients, we must move beyond diagnosis of exclusion and 
define sarcoidosis by what it is rather than by not what it is not.",Research
[PubMed] asthma diagnosis clinical [28],"Conflict of interest statement: Declarations. Conflict of Interest: Nadera J. 
Sweiss, Arnaud Dominati, Mary McGowan, Tricha Shivas, Alexandra Ladouceur, 
Israel Rubinstein, and Murray Baron have nothing to disclose. Ethical Approval: 
This article is based on previously conducted studies and does not include any 
new studies with human participants or animals performed by any of the authors.",Research
[PubMed] asthma diagnosis clinical [29],"Author information:
(1)Imperial College London, London, UK.
(2)Imperial College London, London, UK Toby.Maher@med.usc.edu.
(3)Keck School of Medicine, University of Southern California, Los Angeles, CA, 
USA.",Research
[PubMed] asthma diagnosis clinical [30],"The concept of progressive pulmonary fibrosis (PPF) was developed to facilitate 
the identification of patients with an interstitial lung disease (ILD) that is 
worsening and requires treatment. Various criteria have been proposed to 
identify PPF, generally based on a deterioration in forced vital capacity alone 
or with worsening of respiratory symptoms and/or radiological abnormalities. All 
these criteria are imperfect and based on a limited evidence base. PPF, however 
it is defined, is associated with high morbidity and mortality. In clinical 
practice, flexibility is needed in defining ILD progression given differences in 
the frequencies and methodologies used to monitor patients' disease. Prompt 
identification of PPF is important to enable timely initiation or escalation of 
treatment to slow progression of lung fibrosis, consider eligibility for lung 
transplantation and provide supportive care as needed. In future, earlier 
treatment of patients at risk of progression may be possible to improve outcomes 
for patients.",Research
[PubMed] asthma diagnosis clinical [31],"Conflict of interest statement: Conflict of interest: P.L. Molyneaux reports 
consultancy fees from AstraZeneca, Boehringer Ingelheim, Endeavor, Hoffmann-La 
Roche, Qureight, Redx and Trevi; speaker fees from Boehringer Ingelheim and 
Hoffmann-La Roche; participation on a Data Safety Monitoring Board or Advisory 
Board for United Therapeutics; stock options from Qureight; grant funding (paid 
to his institution) from Action for Pulmonary Fibrosis, Asthma+Lung UK, 
AstraZeneca and GlaxoSmithKline. T.M. Maher reports grants from AstraZeneca, 
GlaxoSmithKline and UCB; consulting fees from AbbVie, Amgen, AstraZeneca, Bayer, 
Biogen Idec, Blade Therapeutics, Bristol-Myers Squibb, Boehringer Ingelheim, 
Endeavor, Hoffmann-La Roche, Galapagos NV, Galecto, GlaxoSmithKline, Gossamer 
Bio, Merck, Pfizer, Pliant, Redx, Trevi, Three Lakes Partners, UCB, United 
Therapeutics and Vicore; and speaker fees from Boehringer Ingelheim and 
Hoffmann-La Roche.",Research
[PubMed] asthma diagnosis clinical [32],"Antimicrobial resistance genes and antibiotic use in chronic lung disease: a 
bronchoscopy study of the lower airways microbiome.",Research
[PubMed] asthma diagnosis clinical [33],"Kringeland GD(1)(2), Tangedal S(2), Julian D(3), Paytuví-Gallart A(3), 
Sanseverino W(3), Bertelsen RJ(1), Husebø GR(2), Knudsen KS(2), Lehmann S(2), 
Nielsen R(1), Eagan TML(4).",Research
[PubMed] asthma diagnosis clinical [34],"Author information:
(1)Department of Clinical Science, Faculty of Medicine, University of Bergen, 
Bergen, Norway.
(2)Department of Thoracic Medicine, Haukeland University Hospital, Bergen, 
Vestland, Norway.
(3)Sequentia Biotech SL, Barcelona, Catalonia, Spain.
(4)Department of Clinical Science, Faculty of Medicine, University of Bergen, 
Bergen, Norway tomas.eagan@uib.no.",Research
[PubMed] asthma diagnosis clinical [35],"BACKGROUND: Antimicrobial resistance genes (ARGs) in the respiratory microbiome 
are poorly characterised. We compared the presence of ARGs in healthy controls 
with patients with chronic lung disease in a cross-sectional study, adjusted for 
time since antibiotic use.
METHODS: Bronchoalveolar lavage was collected from 100 controls, and 93 patients 
with chronic obstructive pulmonary disease (COPD), 13 with asthma, 34 with 
sarcoidosis, 12 with idiopathic pulmonary fibrosis (IPF) and 11 patients with 
unclassifiable interstitial lung disease (uILD). Participants had not used 
antibiotics 14 days prior to sampling. Shotgun metagenomic sequencing was 
performed with Illumina NovaSeq. ARGs were identified using the National 
Database of Antibiotic-Resistant Organisms. Sample reads were normalised to 
counts per million.
RESULTS: In total, 38% of controls had at least one ARG, compared with 51%, 39%, 
65% and 83% of patients with COPD, asthma, sarcoidosis and IPF, respectively 
(p=0.01). ARGs against tetracycline (33%) were the most common ARG class, 
followed by beta-lactam and macrolide resistance (both 26%). In a logistic 
regression analysis adjusted for sex, age, body composition, smoking and 
antibiotic use, the OR (95% CI) for having ARGs in the lower airways was 1.30 
(0.70 to 2.41) in COPD, 1.00 (0.29 to 3.52) in asthma, 3.52 (1.40 to 8.83) in 
sarcoidosis, 6.40 (1.25 to 32.73) in IPF and 3.27 (0.76 to 14.16) in uILD 
compared with controls. Overall mean (SD) ARG counts per million were 403.8 
(537.7) in the 35 subjects who had used antibiotics ≤3 months before 
bronchoscopy, compared with 197.6 (355.9) in the 228 subjects without (p=0.02).
CONCLUSION: The presence of ARGs in the lower airways microbiome was 
significantly higher in patients with sarcoidosis and IPF than in controls. The 
counts per million for ARGs were significantly associated with recent antibiotic 
use.",Research
[PubMed] asthma diagnosis clinical [36],"Conflict of interest statement: Competing interests: ST, DJ, APG, WS, RJB, GRH 
and SL declare no competing interests. GDK declares lecture fees from Boehringer 
Ingelheim. KSK declares lecture fees from AstraZeneca. RN declares grants from 
Sanofi and AstraZeneca. TMLE declares grant from GSK and lecture fees from 
Boehringer Ingelheim and AstraZeneca.",Research
[PubMed] asthma diagnosis clinical [37],"Therapeutic Evolution and Outcomes in EGPA Complicated by Diffuse Alveolar 
Hemorrhage: case-based review.",Research
[PubMed] asthma diagnosis clinical [38],"Author information:
(1)Department of Rheumatology and Immunology, Shanxi Bethune Hospital, Shanxi 
Academy of Medical Sciences, Third Hospital of Shanxi Medical University, Tongji 
Shanxi Hospital, Taiyuan 030032, China.",Research
[PubMed] asthma diagnosis clinical [39],"BACKGROUND: Eosinophilic granulomatosis with polyangiitis (EGPA) is a rare 
systemic vasculitis characterized by asthma, eosinophilia, and multi-organ 
involvement. Diffuse alveolar hemorrhage (DAH) is an uncommon but 
life-threatening pulmonary complication in EGPA.
CASE PRESENTATION: We report a 49-year-old previously healthy woman who 
presented initially with asthma-like symptoms and later developed fever, 
hemoptysis, cutaneous purpura, and periorbital edema. Laboratory evaluation 
revealed marked eosinophilia, anemia, elevated inflammatory markers, and 
strongly positive MPO-ANCA. Bronchoalveolar lavage fluid (BALF) was hemorrhagic 
and contained hemosiderin-laden macrophages, indicating DAH. Broad-spectrum 
antibiotics were empirically initiated but discontinued after metagenomic 
next-generation sequencing (mNGS) of BALF excluded infection. Bone marrow biopsy 
showed eosinophilic hyperplasia without clonal mutations. A diagnosis of 
MPO-ANCA positive EGPA with DAH was established. The patient received pulse 
methylprednisolone, prednisone, intravenous immunoglobulin, mepolizumab, and 
rituximab. Clinical symptoms improved rapidly, and radiological signs of 
alveolar hemorrhage nearly resolved within days.
CONCLUSION: Our case illustrates that integration of rituximab and mepolizumab 
with corticosteroids can achieve rapid remission and steroid sparing in 
EGPA-DAH. While evidence remains limited to case reports and small series, 
targeted biologics may fundamentally improve outcomes in this high-risk subset. 
Prospective studies are warranted to define optimal treatment strategies.",Research
[PubMed] asthma diagnosis clinical [40],"© Japan College of Rheumatology 2026. Published by Oxford University Press. All 
rights reserved. For commercial re-use, please contact reprints@oup.com for 
reprints and translation rights for reprints. All other permissions can be 
obtained through our RightsLink service via the Permissions link on the article 
page on our site—for further information please contact 
journals.permissions@oup.com.",Research
[PubMed] asthma diagnosis clinical [41],"Glenn TM(1), Kasparian NA(2), Amdani S(3), Renaud D(4), DiMaria MV(5), Teh J(6), 
Leone DM(7), Mahendran AK(8), Pike NA(6), Dolgner SJ(1), Cheng AL(9), Rathod 
RH(10), Vaikunth SS(11), Veeram Reddy SR(12), Vanam R(7), Theobald J(7), 
Schumacher KR(5), Hummel SA(7), Conway J(13), Goldberg DJ(14)(15), Zakaria 
D(16), Clauss SB(17), Suthar D(18), Jacobsen RM(19), Morell EM(20), Dykes 
JC(21), Weingarten AJ(22), Bhat DP(23), Reinking BE(24), Alsaied T(20), Lannon 
C(25), Allen KY(26), Anderson JB(7), Patterson LB(27), Brown DW(10), James 
R(28), Rychik J(15), Opotowsky AR(7); SV-ONE Investigators.",Research
[PubMed] asthma diagnosis clinical [42],"Collaborators: Affolter JT, Aguero D, Aljiffry A, Almasarweh S, Bonn J, Clauss 
SB, Colombo JN, Critser P, Didier MA, Dodds KM, Erenberg F, Finkelstein DM, 
Giglia TM, Ginde S, Gord M, Graziano JN, Haley J, Handler SS, Hansen J, Hsieh A, 
Hutson AK, Jayaram NM, Khalid OM, Lemler MS, Mackie AS, McCormick A, Moore KL, 
Nagaraju L, Parent M, Pierick T, Ploutz MS, Reinking B, Renella P, Robb K, Rudd 
N, Schwartz I, Shah KM, Shustak RJ, Sepulveda JS, Soohoo M, Stewart E, Steltzer 
MM, Sunderji S, Texter KM, Tsang R, Vogel C, Votava-Smith JK, Weigand J, Wilmoth 
AN, Wu F, Younoszai AK.",Research
[PubMed] asthma diagnosis clinical [43],"Author information:
(1)Pediatrics and Cardiology, Baylor College of Medicine and Texas Children's 
Hospital, Houston (T.M.G., S.J.D.).
(2)Heart and Mind Wellbeing Center (N.A.K.), Cincinnati Children's Hospital 
Medical Center, OH.
(3)Pediatrics, Division of Cardiology & Cardiovascular Medicine, Clevel and 
Clinic Children's, OH (S.A.).
(4)Department of Child and Adolescent Health, Division of Pediatrics 
III-Cardiology, Pulmonology, Allergology and Cystic Fibrosis, Medical University 
of Innsbruck, Austria (D.R.).
(5)Pediatrics and Cardiology, C.S. Mott Children's Hospital, University of 
Michigan, Ann Arbor (M.V.D., K.R.S.; M.V.D. now with HCA HealthONE Rocky 
Mountain Children's at Presbyterian St. Luke's, Denver, CO).
(6)Heart Institute (J. Teh, N.A.P.), Children's Hospital Los Angeles, CA.
(7)Pediatrics (D.M.L., R.V., J. Theobald, S.A.H., J.B.A., A.R.O.), Cincinnati 
Children's Hospital Medical Center, OH (J.B.A. now with Pediatrics, UNC Health, 
Chapel Hill, NC).
(8)Pediatrics, Texas Center for Pediatric and Congenital Heart Disease, Dell 
Medical School at The University of Texas at Austin/Dell Children's Medical 
Center (A.K.M.).
(9)Pediatrics and Cardiology (A.L.C.), Children's Hospital Los Angeles, CA.
(10)Pediatrics and Cardiology, Boston Children's Hospital, MA (R.H.R., D.W.B.).
(11)Internal Medicine and Pediatrics, Hospital of the University of 
Pennsylvania, Philadelphia (S.S.V.).
(12)Pediatrics and Cardiology, Children's Health, UT Southwestern, Dallas, TX 
(S.R.V.R.).
(13)Pediatrics, Stollery Children's Hospital, University of Alberta, Edmonton, 
Canada (J.C.).
(14)Pediatrics (D.J.G.), Children's Hospital of Philadelphia, PA.
(15)Cardiology (D.J.G., J.R.), Children's Hospital of Philadelphia, PA.
(16)Pediatrics and Cardiology, Arkansas Children's Hospital, Little Rock (D.Z.).
(17)Pediatrics and Cardiology, Children's National Hospital, Washington, DC 
(S.B.C.).
(18)Pediatrics and Cardiology, Children's Healthcare of Atlanta, GA (D.S.).
(19)Pediatrics",Research
[PubMed] asthma diagnosis clinical [44],"BACKGROUND: Survival after Fontan palliation for single ventricle heart disease 
has improved substantially, yet the long-term trajectory remains poorly defined. 
The Fontan Outcomes Network, a learning health network of 38 congenital heart 
centers in the United States and Canada, was established to address this gap. We 
report baseline characteristics and early findings from the first 1121 
participants enrolled in this prospective clinical registry.
METHODS: We performed a cross-sectional analysis of individuals who had 
undergone Fontan palliation enrolled in the Fontan Outcomes Network from August 
2022 through August 2024. Demographic, clinical, imaging, procedural, and 
medication data were analyzed descriptively, overall and by age group (<12, 12 
to <18, and ≥18 years).
RESULTS: A total of 1121 participants were enrolled (mean age, 16.3±10.2 years; 
471 [42%] female). Hypoplastic left heart syndrome (n=431 [38.5%]) and right 
ventricular-dominant anatomy (n=615 [54.9%]) were the most common primary 
cardiac diagnoses, especially in younger age groups. Extracardiac conduit was 
the most frequent Fontan type (n=749 [66.8%]). Typical Fontan-related adverse 
events were noted in 59% of cases (n=662), including chylous pleural effusions 
(n=108 [9.6%]), Fontan thrombosis (n=79 [7.1%]), and nonperioperative stroke 
(n=73 [6.5%]). A history of arrhythmia was present in 41.3% of patients (n=463) 
overall, increasing with age. Acquired comorbidities were present in 57.5% of 
patients (n=645), including asthma (n=132 [12%]) and sleep apnea (n=103 [9%]), 
with burden increasing by age. Antithrombotic medication use was nearly 
universal. Use of other medications varied widely by age, and included 
β-blockers, angiotensin-converting enzyme inhibitors, and pulmonary 
vasodilators. A clinical diagnosis of an anxiety disorder was present in 34.1% 
of patients (n=382), including 48.1% of adults (n=194 of 403), and 
antidepressants were prescribed in 11.8% of patients (n=13",Research
[PubMed] myocardial infarction therapy [1],"Correction: Effects of cognitive behavioral therapy on anxiety and depression in 
patients with myocardial infarction: a systematic review and meta-analysis.",Research
[PubMed] myocardial infarction therapy [2],"Author information:
(1)Precision Treatment Center for Coronary Heart Disease, Zhongshan People's 
Hospital, Zhongshan, Guangdong, China.
(2)School of Nursing and Health, Henan University, Kaifeng, Henan, China.",Research
[PubMed] myocardial infarction therapy [3],"Clinical Profile and Outcomes of Patients with Chronic Kidney Disease on Chronic 
Hemodialysis Hospitalized for Acute Coronary Syndrome in a Tertiary Public 
Hospital in the Philippines.",Research
[PubMed] myocardial infarction therapy [4],"Mapili JAL(1), Tuazon CAM(1), Alad PAO(1), Pilapil JCA(1), Velando BM(1), Bondoc 
APT(1), Lim LCS(1), Cabujat-Bumanglag MAKB(1), Tang VAS(2), Lao JJK(2), Anonuevo 
JC(1).",Research
